batter,batter_name,spearman_rho,p_value,parks
693049,Oscar Colás,0.77774064171123,1.0068917663327342e-07,33
686555,Isaac Collins,0.7653743315508023,2.1222431318774004e-07,33
666134,Nolan Jones,0.7620320855614974,2.5761670446471754e-07,33
624428,Adam Frazier,0.7540106951871658,4.051176520431309e-07,33
670042,Luke Raley,0.7510026737967915,4.779812617174812e-07,33
645444,José Herrera,0.7510026737967915,4.779812617174812e-07,33
607054,Jace Peterson,0.7456550802139038,6.37765520453573e-07,33
572816,Corey Dickerson,0.7309491978609627,1.3610458523068695e-06,33
670541,Yordan Álvarez,0.7299465240641712,1.4306975120051038e-06,33
660688,Keibert Ruiz,0.7286096256684492,1.5286254995626452e-06,33
614173,Franchy Cordero,0.7282754010695188,1.5540442198684284e-06,33
660271,Shohei Ohtani,0.7282754010695188,1.5540442198684284e-06,33
553882,Omar Narváez,0.7279411764705883,1.5798478962544519e-06,33
660294,Yoshi Tsutsugo,0.7252673796791445,1.8007781534329904e-06,33
592567,Colin Moran,0.7249331550802139,1.8302900212067597e-06,33
621566,Matt Olson,0.7249331550802139,1.8302900212067597e-06,33
676475,Alec Burleson,0.7242647058823529,1.8906405312446938e-06,33
596117,Garrett Stubbs,0.7229278074866311,2.0168163696250924e-06,33
677587,Brayan Rocchio,0.7219251336898396,2.1164330207957164e-06,33
681546,James Outman,0.7219251336898396,2.1164330207957164e-06,33
677800,Wilyer Abreu,0.7199197860962567,2.329238360877125e-06,33
671732,Lawrence Butler,0.7169117647058824,2.6851589229357546e-06,33
642136,Matt Thaiss,0.7159090909090909,2.8143771877116572e-06,33
666150,Dominic Fletcher,0.7155748663101605,2.8586920164692923e-06,33
691016,Tyler Soderstrom,0.7155748663101605,2.8586920164692923e-06,33
664913,Seth Brown,0.714572192513369,2.9954754791563915e-06,33
664040,Brandon Lowe,0.7142379679144385,3.0423770816738503e-06,33
671739,Michael Harris,0.7135695187165776,3.1381913591622203e-06,33
665833,Oneil Cruz,0.7125668449197862,3.2870696640328207e-06,33
608577,Nomar Mazara,0.7115641711229946,3.4423482179622997e-06,33
547180,Bryce Harper,0.7115641711229946,3.4423482179622997e-06,33
664770,Nathan Lukes,0.7098930481283423,3.7160401077882256e-06,33
670242,Matt Wallner,0.7092245989304813,3.830951325509717e-06,33
608336,Joey Gallo,0.7088903743315509,3.88961058594652e-06,33
665750,Leody Taveras,0.706216577540107,4.389121094448398e-06,33
665862,Jazz Chisholm,0.705548128342246,4.52278585445722e-06,33
641487,J. P. Crawford,0.705548128342246,4.52278585445722e-06,33
605353,Vimael Machín,0.7052139037433156,4.590996436072215e-06,33
686797,Brooks Lee,0.7052139037433156,4.590996436072215e-06,33
691176,Jasson Domínguez,0.7048796791443851,4.660140871011578e-06,33
647351,Abraham Toro,0.7035427807486632,4.946287816857471e-06,33
687462,Spencer Horwitz,0.7032085561497327,5.02027561016964e-06,33
682848,Endy Rodríguez,0.7028743315508021,5.095267769545237e-06,33
681082,Bryson Stott,0.7022058823529412,5.2483140980846824e-06,33
663728,Cal Raleigh,0.7012032085561498,5.48572546416812e-06,33
668930,Brice Turang,0.7005347593582888,5.64937604938382e-06,33
689172,Brett Wisely,0.6998663101604279,5.817449287245884e-06,33
643393,Tony Kemp,0.6998663101604279,5.817449287245884e-06,33
643446,Jeff Mcneil,0.6995320855614974,5.903177655046322e-06,33
641343,Jake Bauers,0.6988636363636365,6.078085622400889e-06,33
542364,Rafael Ortega,0.6981951871657754,6.2576872046654655e-06,33
656716,Zach Mckinstry,0.6975267379679144,6.442094793442829e-06,33
656541,Sam Hilliard,0.697192513368984,6.53613660426322e-06,33
596146,Max Kepler,0.696524064171123,6.727969090351437e-06,33
666310,Bo Naylor,0.696524064171123,6.727969090351437e-06,33
669357,Nolan Gorman,0.6955213903743316,7.025313023574814e-06,33
642180,Tyler Wade,0.6955213903743316,7.025313023574814e-06,33
572138,Jon Singleton,0.6948529411764706,7.230116192568087e-06,33
695578,James Wood,0.6945187165775402,7.334536415475649e-06,33
643565,Mike Tauchman,0.6925133689839572,7.990324992351107e-06,33
677551,Wander Franco,0.6925133689839572,7.990324992351107e-06,33
630105,Jake Cronenworth,0.6908422459893049,8.576962291767236e-06,33
669701,Josh Smith,0.6905080213903744,8.698874636905489e-06,33
571980,Tyler Naquin,0.6898395721925134,8.947425904526738e-06,33
